category,difficulty,question,option1,option2,option3,option4,correctIndex,gameType,tags,active
history,easy,(trivia) history easy question 23: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 24: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 25: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 26: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 27: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 28: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 29: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 30: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 31: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 32: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 33: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 34: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 35: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 36: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 37: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 38: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 39: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 40: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 41: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 42: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 43: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 44: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 45: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 46: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 47: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 48: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 49: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 50: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,medium,(trivia) history medium question 1: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 2: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 3: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 4: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 5: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 6: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 7: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 8: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 9: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 10: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 11: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 12: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 13: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 14: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 15: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 16: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 17: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 18: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 19: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 20: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 21: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 22: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 23: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 24: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 25: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 26: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 27: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 28: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 29: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 30: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 31: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 32: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 33: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 34: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 35: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 36: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 37: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 38: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 39: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 40: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 41: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 42: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 43: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 44: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 45: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 46: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 47: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 48: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 49: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;medium,true
history,medium,(trivia) history medium question 50: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;medium,true
history,hard,(trivia) history hard question 1: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 2: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 3: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 4: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 5: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 6: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 7: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 8: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 9: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 10: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 11: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 12: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 13: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 14: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 15: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 16: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 17: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 18: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 19: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 20: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 21: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 22: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 23: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 24: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 25: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 26: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 27: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 28: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 29: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 30: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 31: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 32: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 33: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 34: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 35: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 36: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 37: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 38: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 39: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 40: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 41: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 42: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 43: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 44: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 45: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 46: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 47: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 48: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 49: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;hard,true
history,hard,(trivia) history hard question 50: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;hard,true
current_affairs,easy,(trivia) current_affairs easy question 1: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 2: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 3: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 4: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 5: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 6: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 7: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 8: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 9: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 10: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 11: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 12: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 13: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 14: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 15: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 16: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 17: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 18: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 19: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 20: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 21: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 22: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 23: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 24: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 25: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 26: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 27: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 28: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 29: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 30: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 31: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 32: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 33: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 34: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 35: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 36: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 37: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 38: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 39: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 40: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 41: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 42: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 43: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;current_affairs;easy,true
current_affairs,easy,(trivia) current_affairs easy question 44: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;current_affairs;easy,true
